title,currency,sold_price,sold_date
NEW LEGO Star Wars 75097 Advent Calendar Minifig Christmas Countdown Gift 2015,£,60.91,9 Sep 2022
LEGO super mario starter course 71360. BNWT,£,31.0,9 Sep 2022
LEGO 100 TRANS BLUE TRANSPARENT 1x2 FLAT TILES (3069) WATER/FLOWERS,£,5.49,9 Sep 2022
LEGO THE LEGO MOVIE EMMET'S CONSTRUCT-O-MECH RETIRED SEALED SET #70814 708 PCS,£,156.58,9 Sep 2022
New listingLego Star Wars The official Stormtrooper Training Manual + Minifigure New,£,6.99,9 Sep 2022
LEGO Duplo (Find a Pair Baker Birthday Cake) 40267,£,3.12,9 Sep 2022
2020 New Lego Exclusive 40371 Customizable Easter Egg with Chick New Sealed ,£,25.24,9 Sep 2022
LEGO Harry Potter Hogwarts Fluffy Encounter 76387 New & Sealed - UK Free Postage,£,23.49,9 Sep 2022
Lego Creator London Bus Double Decker 10258 SEALED Set New in Box,£,124.03,9 Sep 2022
New listingBRAND NEW LEGO 60017 FLATBED TRUCK  SEALED,£,26.11,9 Sep 2022
New listingLEGO 76208 Marvel Thor Love and Thunder The Goat Boat. New Sealed NISB See Desc✅,£,36.99,9 Sep 2022
Lego 76387 - Harry Potter - Hogwarts: Fluffy Encounter (New),£,23.99,9 Sep 2022
LEGO Technic Ford Mustang Shelby GT500 42138,£,26.0,9 Sep 2022
Lego 70681 Ninjago Spinjitzu Slam Lloyd Tornado Spinner Launcher,£,14.99,9 Sep 2022
New listingNEU - LEGO STAR WARS 75056 ADVENTSKALENDER CALENDER WEIHNACHTSKALENDER KALENDER,£,92.66,9 Sep 2022
lego city crusher 6-12 60180,£,8.0,9 Sep 2022
Lego Star Wars 40531 Lars Family Homestead Kitchen - Brand New and Sealed,£,29.99,9 Sep 2022
LEGO 76164 Marvel Avengers Iron man Hulkbuster vs AIM Agent new free delivery,£,31.95,9 Sep 2022
New listingLEGO 76208 Marvel: Thor Love And Thunder - The Goat Boat. Brand New Sealed ✔️,£,36.99,9 Sep 2022
Friends LEGO (Brand New Unopened),£,6.5,9 Sep 2022
*NEW* Lego 7195 Indiana Jones AMBUSH IN CAIRO Marion Thug Swordsman RETIRED,£,95.74,9 Sep 2022
LEGO The Movie 70800 Getaway Glider (104 pcs),£,21.75,9 Sep 2022
Lego 76945 Jurassic World Atrociraptor Dinosaur: Bike Chase  BRAND NEW & SEALED.,£,13.99,9 Sep 2022
Lego Vintage Taxi 40532 Complete Sealed Set RARE 163 pcs,£,24.85,9 Sep 2022
LEGO Star Wars Mace Windu Minifigure w/ Arm Printing  75342 Fighter Tank - NEW!,£,7.82,9 Sep 2022
LEGO STAR WARS 75177 - First Order Heavy Scout Walker - BRAND NEW SEALED Box Set,£,48.0,9 Sep 2022
New listingLEGO City 60256 Police Station New & Retired ,£,56.0,9 Sep 2022
New listingLEGO FRIENDS: Stephanie's Sailing Adventure (41716),£,14.99,9 Sep 2022
LEGO Super Heroes: Batman Classic TV Series Batmobile (76188) New and unopened!,£,34.99,9 Sep 2022
Brand New in Box LEGO 2824  City Advent Calendar 2010 271 pieces ,£,34.81,9 Sep 2022
LEGO Town City Advent Calendar 7687 New and sealed in box 257 pieces ,£,43.51,9 Sep 2022
New listingLEGO 70836 lego movie 2 battle ready batman and metal beard brand new unopened,£,12.0,9 Sep 2022
"LEGO Creator 3 in 1: Small Cottage (31009); New, Sealed",£,39.17,9 Sep 2022
LEGO Star Wars: TIE Fighter Pilot TIE Fighter (75274) helmet NEW!,£,147.09,9 Sep 2022
LEGO Creator 31019 3-in-1 Forest Animals Monkey Complete Unopened  Sealed Box,£,16.54,9 Sep 2022
New Lego 1950 Logo Keychain 5007093 Retro Spinning NEW Sealed Metal in hand,£,13.05,9 Sep 2022
LEGO DC Super Heroes: Clash of the Heroes (76044),£,12.0,9 Sep 2022
LEGO DC: Flying Fox: Batmobile Airlift Attack (76087) - Box is roughed up a bit ,£,104.44,9 Sep 2022
LEGO Star Wars: Clone Trooper Command Station (40558) ✅ Trusted Seller ✅,£,27.0,9 Sep 2022
,£,18.0,9 Sep 2022
